text,diggCount
wkwkwk repottt??????,0
FBSB SERAME INI JG JIRRR????????,1
aslilah ribet,0
labirin ????????????????,0
ges kalo mo ke kolam lewat mana dah,0
haha vokasi aman aja,3
"pemerintah menggalakkan hemat energi termasuk bbm dan gas...ini mau ketempat yg tinggal lurus saja,mesti muter2 dl????",0
[Sticker] semangatt tawaf nya kakak kakak pusatt,5
Untung ft,1
gerbang yg langsung ke fip juga ditutup kah?,3
iyaa kakk,0
"bisa dibayangkan besok hari pertama kuliah smt baru, ada maba ??????",4427
mungkin rektor di rektorat ingin menyapa rakyat kecilnya makanya diarahin ke rektorat semua,3875
????????,85
[Sticker] tawaf setiap pagi ka,305
wkwkkw ini mah telat satu telat semua????,114
BENEEERRRR,2
"maba nanya kating, kating jg bingung",416
"Aku lagi cari partner untuk tim promosiii, untuk umur 19 - 25thn. Aku lagi bangun komunitas bisnis di Jogja, ada pengembangan skill nya, di ajari cara promosi nya, ada Income side nya jugaa 500k/minggu. Boleh dm akuuu yaa guyssss",0
[Sticker] ft be like,36
[Sticker] FBSB yg harmonis mendadak berubah jd jalan raya,961
fbsb rasa ringroad,10
"[Sticker] DEMIII NYEBELIN BGTTT dari ditutup awal aja udh janggal, trs masa hari ini pulang dari gedung terpadu harus muter ke belakang hotel uny,mipa,fisip,fip PADAHAL TINGGAL BELOK KANAN KE REKTORAT",14
FBSB seintrovert itu tidak siap dengan lalu lalang motor fakultas lain??,331
"[Sticker] niat hati ngekost deket fakultas biar deket, malah muter lewat depan",270
BENEEERRRR,0
supporteran ta iki,15
????????,0
"fmipa jadi macet, udah jalan fmipa kecil manusianya jadi banyak banget. huft",24
[Sticker] yg telat tambah telat,76
"kirain macet di Jakarta, ternyata di UNY, wkw",1
"MAU NGERASAIN JUGAAA, PLISS UNY CINTAKUUU KALI INI DITERIMA YA????",23
kampus seuprit jalannya rumit,322
2 kata lucu rektorat macet?? kak pindah ft ajaa??,588
mauuu ????,27
ft santuy??,6
kaa lucuu banget rameann gituu,63
[Sticker] FBSB be like,42
[Sticker] fbsb sm ft be like:,305
lagi sunmori ya kak???,11
[Sticker] Kak ga mau naik kucing aja?,6
izin telat karna kesasar????,9
"untung udah lulus, makin ke sini UNY makin nyusahin ya ??",27
estimasi keterlambatan 50mnt,12
Alhamdulillah udah ga ada kelas lagi,7
[Sticker] fbsb santai,10
wegah,1
rewel,2
ribet blok,0
ribet,1
"min mau usul, gimana kalo kapan kapan uny tour, sama tunjukin ruang utbk di uny sama gimana cara masuk ke ruang utbk di seluruh sesuai jalur panduan utbk. aku rasa agit tertarik deh sama konten kayak gini hehe",3
ribet ah,3
penak ft,3
Tiap pulang kerja (sy kerja di plaza uny) keluar rektorat belok kiri pasti ada mobil parkir br beli buah jd tersendat arus lalin disitu ada solusi gk min?,4
kebijakan tidak sebaik slogan kampus UNY,31
BIAR APAAAAAAWW GW TANYA,1
eval eval,2
Jd mls masuk kampus klo gini????,3
"terus gmn ya kalo rumah dari timur, harus muter dulu?",1
"aku naik gojek dr hotel ke Uny, aku bilang di aula uny , eh mang gojek nya gak tau , aku pun jg gak tau dimana , diajak muter² dlu masuk lewat belakang tanya org², ternyata letak nya didepan ??",1
"sekarang gini deh min, kalo rumahnya dari Baleyasa, amplas apa harus muter muter dulu? dari waktu aja dah ga efisien. Kenapa ga ngasih jadwal satpam buat nyebrangin di jam jam sibuk masuk kuliah?",9
ruwet bundet,11
"males min, ribet",1
emoh aku emoh,7
alah mboh mumet,4
MUMETTT,0
ONOO WAE GEBRAKAN E,0
STRESS STRESSS,0
"makin ga jelas kebijakannya, bikin repot",2
minimal maksimal,5
GAHHH,0
ANEH AHHH,3
RUWET,3
setuju.,0
SETUJU,0
njir,0
SETUJU,0
SETUJU,0
makin hari makin makin,0
"Panas kak capekkkk, enak di pos ????",14
"contoh kek satpam ugm tuh, selalu nyebrangin jam berangkat/pulang kerja",4
Haha iya lagi,0
nyebarangin ga masuk jobdesk satpam kali... ato gaji satpam kurang...,0
se7,5
"layo kan kak,dibayar tok wkwk",2
sepakat,0
satpam e klh cepet kro kang parkir mie ayam ngasian??,0
"kan kemarin udah bikin percobaan terus hasilnya pada ga setuju, lah ini kok dilanjutin?",8
[Sticker] Plenger final bos,0
SETUJUUUUUU,0
wkwk,0
"@??ARA:ih iya kaaakk ak jg kehilangan helm di parkiran FEB, parkirannya deket POS SATPAM ak mintai solusi NOL bgt ada cctv katanya cctv itu MATI??! mana helm ku lumayan weh buat ak yg mahasiswa",0
"aku kehilangan di FBSB waktu itu, tanya penjaga parkir lempar sana sini, malah keluar kata-kata ""disini udah biasa ilang helm, soalnya bilang helm temen..."" lah, ya mau alasan helm temen juga tetep aja jangan gampang dilolosin gitu aneh wkwk. terus ke satpam nanya solusi, disuruh cari ke pasar klitikan, mana ga ada cctv waktu itu. baru ada cctv setelah beberapa bulan kejadian, itupun ga berguna banget, karena ya masalah utama itu di efektivitas keamanan secara keseluruhannya gimana, termasuk kinerja petugas keamanan, kebukti juga kan ada cctv aja masih terus kecolongan, bahkan sampe kendaraan yg ilang wkwk",0
Suruh puter balik gitu? Masuk di akal aja engga,59
mungkin disuruh pindah rumah kak??,13
"yakan, sebel banget??",3
"Kebijakan goblok mas, buang-buang bensin",1
?? @?theelaaaaaak????,0
"ah mbuh ra ngurus tak trabas, ngrepoti tnn",4
"setuju kak, bukannya menerapkan efisiensi malah tiap kmn"" udh kayak kampus tour??",20
"yapss, sm aja tiap jumat wfh tp tiap ngampus kudu muter2 sek??",2
@jiseokcimahi @Fiore Eabaq ??,0
tergajelas tahun 2026,0
cen ramutu,0
IYA LGII,0
"colombo juga jadi macet, yg katanya ditutup biar ga macet",2
"pertimbangin lg deh klo mau aturan, kita disini juga bayar, mau fasilitas yg nyaman, bukan malah jdi ribet",2
baik akan kami evaluasi bersama bapak rektor @RavQ ????,0
terimakasih atas masukan yang diberikan mas yosse????,0
"UNY sejak lama menghadapi permasalahan dalam proses penerimaan mahasiswa baru, di mana terdapat anggapan bahwa calon mahasiswa yang membayar sumbangan dengan nominal lebih tinggi memiliki peluang lebih besar untuk diterima.",0
hoo ye?????,0
polllll,1
tak upn ae bolo,1
kei bangjo ae sesuk per fakultas,1
"ada motor ilang, ini salah satu upaya nya biar org ga sembarangan msuk",67
"perbaiki kualitas satpam, bukan yang ditanya malah sewot, seakan akan ini ngga memperbaiki kualitas satpam padahal jelas-jelas itu kelalaian satpam dan erornya cctv",522
"iyaa lagi, satpam di depan itu cmn formalitas pagi, nanti klo dh siang udh ga ada pdhl butuh orng yang nyebrangin anjirr, mana rame tuh siang- sore",93
Setujuuu,0
@vyxxxaa_ @ollaraazaaaa @fey,0
setuju aldi ??,0
ke kampus cuma kepleset ya..,0
wkwkw satpam fbsb bgt tuh ??,2
"setuju, apa fungsi nya ngisi emonev kalo banyak dari kita keluhan nya sama? apa cuma formalitas buat kampus? udah deh pembangunan nya nanti dulu, benerin dulu cctv, kalo bisa transparan bisa di akses pake siakad biar kita ngga curiga kalo ini salah satu sindikat.",69
"stuju bgtt HAHA???? satp nya ga bner jir kerja nya, ga nyebrangin yg di grbng dpan, pdhl aku liat bnyk bngt yg di pos nya tpi malah pd jagongan sndiri2?? emg sih yg hrus di perbaiki satpam nya",72
isunya satpam yg berumur bkln dirombak alias diganti,4
truss ntar permasalahan ganti gara gara macet + mesin error aowkwowkw,60
"IYA PLS, BINGUNG KMN"" HARUS MUTER",7
stuju,2
ojo mbk ktmku ilang,0
NAHHH,0
"loh uny ada kemalingan juga jir? upn juga ada btw, sekarang harus bawa stnk kalo mau keluar masuk??",0
serius stnk ka?????????,0
"tp masih bebas, org org ga lama bakal paham pola alur nya. kl mau org ga sembarang masuk ya pake sistem tap ktm buat parkir sm perbaiki satpam nya",0
"iya kak isunya sem depan pke ktm, dan satpamnya bkln dirombak",0
ehh utbk kah? aku mahasiswa????,9
"ADUH MALUNYAA, MAAF KAKKK ????????????",1
"berangkat lebih pagi, jangan kebo lu makanya",0
"mbk, semangatt yach ????",0
"raa, ih malu??",0
??????????,0
????,0
"minimal satpam suruh kerja, nyebrangin kek gacuma marahin mahasiswa yang salah jalan wkwkw",221
gapapa rutenya jauh tp minimal. nyebrangin yakan????,39
ASLI NGAWUR,5
BENER BANGET. pas nyebrang pun satpamnya pada ke mana? gak ada tu????????????,1
Efisiensi sdm katanyaaa wkwk,0
Wkwkwk,0
Wkwkwk kacau emang kak,0
@4cell?? @cill @user,0
lewat atas aja kita,0
haha kak tau sendiri dari dulu uny anti kritik apalagi birokrasinya,2
"Iya anjir emosi gue, mah ngebela satpam",0
????,0
kan bentar lg lulus,1
setuju??,0
MP yo thawaf,1
anak saya UTBK dapat di lab dream FBSB..lewat mana ya...??,0
"gedung apa kak? kalau nama gedung nya ki ageng suryo, masuk dari gerbang utama belok kanan sampe ketemu gedung ws rendra belok kiri ikutin jalan",1
"kak saya juga dream lab fbsb tgl 24, boleh tmnan sm anaknya?",0
anak saya cowok... pagi atau siang.. anak saya pagi...,0
"saya tgl 24 sesi 1 kak, saya tdi sudah survei smpe depan ruangan juga, anaknya sudah masuk grup?",0
belum ada grupnya kah,0
"ada kak, dari day 1-terakhir, mlah ad yg seruangan jg",0
"bisa minta grupnya apa, biar nanti anaknya masuk",0
https://chat.whatsapp.com/KRRCvUBWEmR6fsjNWuJmGR?mode=gi_t coba kak bisa ga,0
betuls ????,0
fik wajib lewat fbsb??,4
fbsb juga wkwkkw,53
ft diluar labirin wkwk??,29
tapi ft jd penyebab rute baru ini,16
hah? gmn tu mkstnya,0
ft 2 kali kemalingan motor,5
"gerbang banyak ditutup trs dibikin rute baru gegara kasus kehilangan motor di ft, tapi yg nyuri bukan orang uny. trs pas ditelusuri, pelaku bukan lewat karmal, tp lewat jalanan kampus dalem. makanya dibuat rute baru",21
fik nyimak,0
podo ae lek,1
"tapi area belakang ada pembangunan tempat parkir di selatan aula badminton, jadi kalo masuk dari gerbang selatan ga bisa ke depan arah kplt (kecuali nrabas lewat taman media)",1
kalo ke ft lewat nya mana ya kak..... aku utbk disana dan ga dibolehin survey sama bunda soalnya jauh bolak balik... trs katanya jg gaboleh ya survey pas utbk udah dimulai???,0
"langsung masuk ke gerbang ft ya gerbang utara. boleh ko, tapi emang gabisa sampe ruangannya kalo utbk nya udh mulai, at least kamu tau gedungnya dmn. kmu dapet di lab apa emng?",0
lab PTEI kak,0
vokasi bukan beda klaster lg kak????,0
daymnnn,0
"yg fv mau ke feb aja ngemaps, itu juga nyasar dulu[cry]",0
sama g?,0
[Sticker] kita langsung masuk aja menn,0
tawaf dlu dong,0
mabur ta,1
selak telat,0
untung gw fbs??,0
lab fmipa mesti muter njoyy??,0
????,0
reall,1
sing sabar,0
[Sticker] fbsb,4
ngrepoti,7
tawaf cik,2
dari fip mau ke tamkul aja harus muter'??????,8
biar apasikkk??! gw anak fisip jadi telat gara2 harus muter,6
mau ke gor uny aja bikin pusing jalannya,0
"ga menyelesaikan masalah, mung tambah ribet tok",4
dari samirono mau ke FMIPA muter juga??,5
posisi awalan bagong mas ??,3
selamat ber tawaf,4
BENCII,2
raceto,2
cape muter muter,4
ruwet angel,1
REPOTTTT,3
intinya muter muter,2
ribett untung dh luluusss??,4
Cocok nggo durasi strava,1
"kalo rumahnya kebarat, tp harus ke timur dan muter agak jauh bisa reimburse bensin ga",4
btw semua ojol aku protes krn gd info + mereka ngeluarin bensin lebih banyak padahal tarifnya sama aja,4
[Sticker] apalah kampus gw ini,8
untung sekarang aku jalan kaki ke kampus.. jd bisa masuk dari plaza uny??,4
"Minimal kalau aksesnya keluar masuk nya itu gerbang utama di sediakan satpam buat nyebrangin jalan, mana panas terus nunggu macet lagi",4
APA DEH MUTER MUTER ??,4
gajelas bgt anjir,3
kalian komen kayanya juga gabakal didenger,4
Fungsi?,6
ealah pie jane,6
RIBET,3
GAMAU,1
kebijakan yang diuji coba dan hasilnya jelek malah dilanjutkan. Mantap,4
satpamnya dievaluasi dong,2
"GAK EFISIEN PLIS, GERBANG GERBANG TU BUKA AJA IH",5
lngsung ke ft kak,0
kenapa e nes????,0
"bnyak maling dev, tpi solusine ga masuk blas malah ribetii hruse yg dibnerke satpam e ga mung duduk2 tokk",1
fikk juga suruh muter lewat fbsb kak,11
Dia belum tau kak kalau ternyata ditutup juga,5
Waduhhhh ??,0
makin macett plsss ??,2
aamiinn! ditunggu yaaa ??,1
konvoi gitu ya sistemnya?,9
"tiap harii konvoi depan rektoran, bahkan dulu aja bisa diitung berapa kali lewat depan, ini malah tiap hari??",8
vibesnya kaya acara sebe nyeni??,2
gak suka.,4
"tadi gw hampir telat ikut uts anjg gara"" muter"" dulu bangke lah??",1
[Sticker] aku pun milih jalan kaki drpd ikut konvoi dpn rektorat,3
thanks uny berkat ini aku jd bisa muter2 dan tau depan fikk kaya gimana,3
Tawaf rektorat,3
kurang ajarrr ??????,2
semangat kakak??,1
makasih mom ??,0
kak kok malah konvoi??,3
rilll coyy anak FMIPA aja cuma mau ke lab harus muterrr rektorat dl??,3
gabisa gaa si kak gerbang nya dirantai,0
"Aku bisa minggu kmrn kak, gerbang depan fmipa ga ditutup soalnyaa????",0
"iya minggu kemarin masih bisa ka, tapi per hari ini gerbang depan fmipa udah ditutup",0
alasan harus lewat depan apa yaa kak? soalnya aku udh 4 bulan gapernah kekampus wkwk,0
hotel uny enjoyyy dluu ??,0
itu masuk ya dari mana ya... yang lampu merah belok kanan itu atau bukan?,0
di perempatan dekat taman kearifan UGM kak,0
iyaa betul Deket gedung biru ugm Deket lembah UGM jg nnti ada pintu masuk tulisannya FBSB warna ungu,0
halo bosku,1
[Sticker] ,0
qhaqha adakah denah fbsb sebelah mana?,0
,1
tapi ya nek meh nng ngarep muter Wes biasalahhhhh ??,0
"Ahahahahha, kanpus tour",0
teknik aman kok nid rausah liwat ngarep??,0
Woii fbsb rame bener yg lewatt??,2
jahaha ketemu komen mu,0
dalane di pek dewe ??,7
mari join jd anak efteh,1
fbsb punn????????,6
ka klo ft lewat gerbang depan atau di gerbang pintu masung yang langsung ke ft? mau surveii,0
lewat pintu masuk gerbang ft depan yaaa (tulisan fakultas teknik),0
oke ka makasi banyak ya,1
"2 ka, depan belakang",1
yg belakang tu yg mana ya?,0
deket fisip ma feb,0
gang guru ya kak? aku utbk di limuny masih agak bingung,0
"iyaaaa, di gang guru",1
ada 2,1
[Sticker] ,0
kalo pmd ngga lewat rektorat,1
Iya kak Alhamdulillah nyampe,0
semangat utbk nya!!,0
yukkk lewat fbs,1
untung jamane akdw maba ra ko ngene wkwkw,0
wkwkwkkw rillll mah ko arep tawuran??,0
bensin gua woi??,0
btw smangat y kak uny mmg selalu ada gebrakannya??,2
wkwkwk,0
"aamiin ya Allah, makasii kak",0
"Lampu merah macet, melbu kampus macet JANNN RUWETT",17
[Sticker] FBSB seintrovert itu dipaksa ekstrovert,5
mau pulang dari fmipa aja kudu muterin fbsb dulu??,7
Untung aku udah lulus ?? kebayang dulu kalo jalannya begini telat muluk wkwk,8
gasuka gasukaa,5
plss lucu bangett ??,5
"harusnya kasih lampu merah sekalian min biar bs saling senyum, salam, sapa ??",0
Tawaf ????,1
penak ft raresiko??,3
konvoi,2
karnaval tah,3
??????,0
Walau agak mumet krna kita harus tawaf UNY dulu jgn lupa mampir ke Bayleaf di Foodcourt UNY ya ???? parkirannya sebelah foodcourt kok,0
"fbsb tiba' jadi rute konvoi, rame banget????",4
bimbingan skripsi ndadak thawaf UNY sek??,0
GWS??,1
day one tawaf uny??,1
Ft nyimak bolooo????,2
sumpah kesel banget mau keluar kampus mesti muter” dlu njir ??,2
"kalo mau di ada in kek gini minimal ada transportasi kampus dong, masak transportasi pribadi di susahin masuk nya. up????",4
[Sticker] the flash uny,0
[Sticker] FT gaya bebas,1
halah mumetttt,0
Acak lur,1
untung uny cabang wates????,2
rute fmipa dibenerin lagi coba min. masa mau pindah ke lab harus muter kampus dulu? mana labnya ujung,4
kurang efektif di tengah penghematan bbm,3
Alusss,1
apaan dah,0
beda sak iki rutene,0
kampus siapa sih kak yg ribet gini??,0
hmmm kampus ini lagi??????,0
konsep e kampus tour ben mhs ngerti lingkungan kampus,0
@Faez,0
@UNY Yogyakarta Semua jalan milik Allah ????,1
AWOKWOWKWK,1
