text,diggCount
anu kak maaf lancang ada info kost nggakk aku maba tahun inii ????,0
kating hrs tau smua pkonya,9
Alumni tambah bingung????,8
"aowkaowk relate, nanya gedung admisi pun dia bingung",0
"Menurut saya, penutupan akses jalan keluar-masuk kendaraan di area UNY sebaiknya dipertimbangkan kembali. Karena bagi sebagian mahasiswa dan masyarakat sekitar, akses tersebut cukup membantu mobilitas sehari-hari. Mungkin pihak kampus bisa mencari solusi lain yang tetap menjaga ketertiban tanpa terlalu menyulitkan pengguna jalan. Semoga ke depannya ada kebijakan yang lebih nyaman untuk semua pihak.",1
mempersulit mahasiswa untuk akses dan juga bukanya efesiensi malah bensin makin boros harus putar dulu kalo mau pulang,0
alumni menyimak ??,0
"katanya mau hemat BBM, yg ada keburu bensin abis blm sampe kelas??",0
kurang memberi manfaat....,0
editornya bagus ibj,0
ada pom mini gak didalem?,0
[Sticker] FT :,0
ngruweti,0
mudik yee bang,0
aish pusing,0
tinggal minta kaka gw jelasin????,0
buset alus bgt tuh transisi,0
bukannya perbaiki sistem keamanan malah main rute rute ribet hadeh,0
untung aku wes lulus,0
SEBEL IH,0
ribet,0
klo mau ke TIK gimana? besok mau nganter tes utbk,0
terima gw biar bisa kaya gini,0
konvoi,2
dia lagi,1
knp si…,1
"FMIPA dri gedung D02 ke D03 berasa nyebrang trs yak, tkut ditabrak motor. ruang kuliah ke lab juga nyebrang. emng FMIPA se beda benua itu ya??",1
"FRRRR, MAU NYEBRANG GEDUNG AJA TAKUT BGT",0
disuruh ngehirup polusi -_-,1
[Sticker] fbsb :,3
Idol??,0
kowe idolaku mas,0
fbsb kebrebekan bos,5
aman sentosa to,0
??????,0
"fbsb aj yg belakang skrg ditutup, harua muter ke kuningan",9
fh lewat samping wkwkw,6
tak parkir FH yh besok kak??,0
Fh tetep lewat ft kan?,0
"engga, lewat samping yg gang felix maju lagi ntar ada gerbang",0
selow aja gk si ??,0
wkwkw ??,0
[Sticker] shell.. ??????,1
wkwk real,0
"wkwkwkw, FBSB aja di jadiin jalan raya buat anak anak FIKK sama FMIPA yang mau parkir di lab ??",8
MAUUUU,0
Ngonten bareng ga sih,0
"ft tu bisa lewat mna si kak, aku dpt lokasi utbk di ft (lab mesin) soalnya??",0
lewat gerbang ft nya sendiri (gerbang paling utara uny) depan bangjo perempatan ft,0
tapi bangjo,1
[Sticker] rilllll,0
"Aamiin ya Allah, terimakasih kak??",1
la ngopo,0
alhamdulillah udh lulus,3
Good for u neng,0
jgn lupa skripsinya kak,0
kata gwe diem,0
bimbingan ga sih kack,0
Apa itu bimbingan… aku ga kenal??,0
banyak curanmor kak. kemarin aja fbsb ada yg motornya dicolong,1
iya benerr??,0
"???? bener²,",0
"minus parkiran bludakkkk, ditambah skrng yg parkirannya dibangun pd pindah ft??",1
Ptbb jadi parkiran dadakannn??,1
kak tak parkir FT ya??,1
"ft tu bisa lewat mna si kak, aku dpt lokasi utbk di ft (lab mesin) soalnya??",0
lewat depan gerbang ft aja klo dpt lab mesin,0
"okei ka, makasii",0
"iya anjir?? ak kmrn ke uny buat survey, gila jalannya bingunginnn",3
ahahaha,0
sabar sabarr????,0
raiso wes panas ndadak muter” og kon sabar ????,0
"kebijakan aneh, unik, menggelitik",6
repot ah,8
"efisiensi bahan bakar gak berlaku,, soalnya suruh muter"" wkwk",9
"tertib kaga,tambah macett iya????",6
kurang bijak pak @rektor,9
"jujur nyusahin bgt kebijakan ini, mosok kudu puter balik sek to, urung dalan rektorat kui macettt???? ra efisiensi blasss",7
Ribet!,10
"gamau, tolong buka lagi gerbangnya ??",11
repottt kebanyakan perintahhhhhhhhhhhh,5
riweh banget??,8
makin anehhh aja,5
nyusahain bgt,1
satpamnya cuma rajin naik mobil golf????,5
Mau keluar ngeprint aja harus muterrrr,4
duhhh fmipa kl ke lab doang hrs muter keluar rektorat pdhl perpindahan jam cm 10 menit??????,1
untung udah lulus??,1
kyknya bakal makin kesasar ni,1
"asli dari fbsb mau ke plaza harus muter dulu, mana baliknya jg harus muter, mumettt ??",4
tour da uny,1
W editor,2
untung dah kelar?????,1
Ribet bgt busetttt,3
"susah, gamau berangkat kuliah",3
"Satu rute biasa aja mau lupa , apalagi di putar2 kyk gini , plis uny kembalikan jalur yang dulu??????",2
sumpah ini karena apasi dibikin gini,1
emg dasar kampusmu ituhhh,0
hmmm,0
"wkwk, buang buang waktuu yaa kak",0
kebijakan yang tidaks bijak,1
pindah wae,1
sabarr yaa eonni ????,0
"kampus atau gedung wakil rakyat sih? bikin aturannya sama sama menyusahkan, FREAK",3
Ga ada ya?,0
Nih contoh wajib kekiri semua dr rektorat pasti kesangkut dikiri ada parki buah dikanan antrian belok kanan sedangkan sy mau ke kiri arah gejayan,0
BIKIN TELAT,2
2??,0
rill,0
"iya lagi, mana parkiran pada penuh",0
GA LOGIKA,0
[Sticker] ,0
??????,1
????,1
Knp tutup ya gerbangnya? Drive ojol jadi bingung akulun bingung????,3
"Sumpah bingungi min, mending pake scan ktm mahasiswa dong, gak efektif dan efisien katanya efisiensi bahan bakar bbm jga?????? jumat wfh tapi jalur masuk dan keluar satu pintu samaa ajaa, jalan colombo jga macet parahhh ??",3
INI RUTE APAAN SIHHH??,1
when ya diterima uny,0
semoga bisa lebih baik lagi... ini membuat saya bingung..... dan telat masuk... lalu jalan jalan didalam kampus punnn ramee banget... mau nyebrang antar gedung banyak motor lewat....sarannya mending pakai sistem pendaftaran motor mahasiswa aja (kalau mau masuk parkiran udah otomatis kedeteksi) terus jadi bisa lebih terstruktur....,2
alhamdulillah ft aman sentosa,0
[Sticker] ,1
Jangan jujur” bgt dong kak,0
??,0
BIKIN MACET MIN,0
ribet,1
"baru aja lewat dan pada keluar ke barat, pada masuk dari timur. gak ada satpam babar blas",0
bikin telat kelas jir??,0
kocak.,0
gjls bkin muter”,0
katanya sih rektor tidak suka jalan kampus jadi jalan untuk umum kayak jalur pemotongan gitu,0
dah yok balik,0
ehh mas,0
repot jir,0
kaya masuk labirin,2
keren nih tim medianya,2
TERUSSS GIMANAAA INII KALAU MAU SURVEI UTBK TAPI MUTER²,2
GARAI MUMET JUOHHHHHH,2
repot bgt,2
jujur ga banget,2
marai mumettt,2
ribet dikit jujur...,2
Rute kopma aneh bangett,1
tawaf,1
ribet ah bikin males kuliahh,1
mumet min??,1
pusing...,1
[Sticker] Ini biar ga ngerepotin satpamnya kah,3
peraturan ini semua terjadi karna uny efisiensi anggaran buat satpam btw ????,4
fungsi satpam apa njir,3
burem e video ne,3
ngrepoti hehe,1
"ih kocak, untung dah mau lulus",1
buang buang waktu??,2
kebijakan yang tidak bijak,4
balik kost 5 menit jadi 15 menit sendiri lawakkjk,3
"pls pls, masuk nya dr fakul masing' lg aja??",3
yang kost di karangmalang harus muter dulu,2
ribet,1
kampus ribet,2
apasih..,2
"kenapa keluar gerban aja harus ke kiri, jalan umum begitu??",3
gek ayo wani ora,0
"padahal banyak solusi lain, tapi malah bikin ruwet mhswne dewe",0
yang bener kak,0
bener,0
dey,0
pret,0
eh km yg parkir di rektorat kan ya pdhl kuliah di pmd ??,0
sabar jay,0
hoo po jay,0
selalu ada hikmah ya kak,0
duhh macet rush hour????????,0
kaya mau konvoi ke nikahan,3
FT mah enjoyy ajaa menn,2
jadi susah nyebrang di fbsb,2
te kuat gusti??,2
ngerii editor??,0
KOCAK????????,0
kesiann,0
IYAAA IHHH,0
fbsb mendadak jalan raya??,3
Naik ojol turunnya depan gerbang aja dripada muter jauhhhh??,2
alhamdulillah yang kampus gunungkidul ga disuruh lewat rektorat,2
"reaal, aku kalo mau jemput mama ku aja harus muter muter??",3
fmipa dari idb ke d03 aja berasa lewat jalan raya,2
yampunn semangat yaaahhhhh??,2
KWKWKWK mau terbang jg bisa,0
Bikin makin ribet sih,1
sing sabar ??????,0
HAHAHAHAHAHA MBAAA ????,0
Seruu euy jadi tau masi ada kehidupan lain ternyata di fakultas lain wkwkwk,1
ada gebrakan apa ini weh setelah lulus??,1
Kelasnya juga ditutup aja boleh ga?,2
tawaf gedung rektorat ta iki?,1
sebel bgt malah bikin macet,2
kopdar ta iki ??,0
Tawaf kak ini ??,1
fbsb tb tb jadi rame??,1
untung fakultas paling utara ??,1
"Aku bukan mahasiswa/alumni uny, hari ini tenis bingung mau parkir mana, ternyata harus masuk lewat rektorat dulu, pikirku oh mungkin uny lagi mau promosiin kampusnya ke orang luar ??",1
riil uny kocaggg,0
kak kalian lagi tawaf gitu ya konsepnya ??,1
kampus ra jelas,1
Fixs FT anak tiri ga diajak??,0
konvoi ta iki? ??,1
Kirab tah iki?,1
mau ke fip dari gejayan gabisa lewat fisip lagi pls??,1
"rektorat macet, parkir FT tambah ruwet",1
untung dah lulus??,1
td aja dh byk yg survei buat utbk ??,0
"MALESSSS BANGETTTT IH, BAYANGIN AJA UDAH MUAKKK",0
@run.a,1
,1
??????,0
kasian anak fmipa mau ke lab harus muter jauh??,1
pogung kah ini,1
ribet bngt dah,1
[Sticker] saya yang fisip??,1
membuat ribet sj ??,1
em jujur mau kasi big applause utk editornya ini keren bgt mf klo oot??,3
lebih pusing jalan uny daripada ugm??,1
arep kelas kudu tawaf sek,1
meh nek fip wae kudu thawaf sek??,1
Jujur agak rumit tapi okeylah gapapa,1
fbsb mah ngapain pusing,1
kalok yang berangkat jalur udara lewat nya mana ya.... ??,2
ribet bikin macet buatnya ga pake nalar??,1
kak ini boleh masuk smpe gedung nya atau cuma boleh di depan gedung fakultas?,1
ribet jirrr apa gk bikin macet kalau kayak gini?,2
jogging disini boleh kalii yaa,1
wkwk,2
masa selat hormuz ditutup efeknya sampe ke UNY?,1
@lyzzaf @??,2
@L,0
??,0
????,0
@_____moonandsun,0
??,0
sangat tidak humanis dan berbudaya??,0
depan ws jadi banyak bgt anomali pls????????,1
malah muter2 abisin bensin,0
lagi lucu lucu ne uny ki,0
FV ngga ikut rute ini wkwk,0
ini pov ketika bensin 1 liter buat kemana aja,0
ribet,0
mbuh mumet,0
bikin macet??,0
"ke feb muter"" jir??",0
kata gue terima gue dah,0
??????????,0
rute strava,1
when ya,0
koklunemugua,1
hai,0
dh susah tambah susah??,1
privilege FT ??,1
Makin aneh,1
day 1 nyasar ??,1
Alhamdulillah yg telat jdi tambah telat ??,1
ribet ah,2
Iki uny bos ora iso ngetut no UGM ora ono bunderane kocak,1
Kos an ge samirono masa kudu muter bjir??,1
Boros bensin pls jadi jauh banget muternyaaa,1
pak satpam muu lohh cuma duduk neduhh di pos satpamm,1
aneh,1
lah,1
aneh,0
OPO SIH NGGA SEPAKAT BANGET,0
yaaampun mbolak mbalik mbolak no nek ngene??,0
kalo ada yang sulit knp pilih yang mudahhhh ya kann,0
NGREPOTII,0
[Sticker] ,0
repot,0
"udah mah jalur keluar masuk kampus cuma satu pintu, masuk ke parkiran fakultas juga bikin bingung ????",0
[Sticker] ,0
wegah,0
piye piye kampus e piye kampus e kok koyo ngene ????,0
ruwet,0
saya mau kasih kuliah di FK UNY jadi telat karena macet dan susah cari parkiran,0
[Sticker] kaya konvoi,2
nii satpam yg ngasi tanda pusing juga sih ni??,1
ribet bgt emang,1
semangat kak??,1
????,0
izinn bang ?????,1
bangga jd anak fbsb????,1
klo harus muter rektorat dlu tu niatnya mau pamerin rektorat apa gmn kak?,1
untung udah lulus #izin dan untung di fbsb #izinnnn,0
kampus kocak,0
Kalo ke amikom lewat Fbsb bisa kak? Mau ikut touring juga,0
heee iyaa ????,0
plis masa mobil mau ke fisipol juga dilewatin ke jalan seuprit samping kantin univ ????,0
FT losssss,0
pindah ugm aja kak,0
ft bagian nyimakk wkwkwk,0
Penak jaman dulu ????,0
biar depan rektorat rame kayak bunderan UGM kali ya,0
iring²an nganten,0
malah convoy??,0
masuk fbsb aja kak,0
budal acara cb ta iki,0
makro gw terasah disini,0
gokil bgt skrg kampus ku dulu,0
"woy aku kemarin survey tempat di UNY lab MP, mahasiswa sana pada enggak tau??",0
yg parkir di plaza ??,0
Touring kah ini? Apa konvoi??????,0
bersyukur masuk ft,0
satu org=satu motor satu mobil...apa gk penuh parkiran??,0
untung gw udh luluss #izin????,0
"ini besok kalau pakau gojek boleh gaksih, gw gak bawa motor ??",0
univ stres (yeahhh akulah alumnus univ itu)??,0
[Sticker] Bayangkan depan DIGILIB macet dan kamu harus ngejar turnitin karena tinggal 2 hari lagi tutup buat Yudisium ??????,0
bikin macet??,0
Untung dah lulus,1
repot banget buat fmipa yuyur ?????? muternya jauh banget busettt,1
klean aj yg ngmng. males ah,1
[Sticker] ribet ih,1
ribet,1
fbsb nyantai,1
Welcome to labirin ??,1
"fbsb enak kak, kompleks sendiri ????",1
"jadi kangen uny,pas outing class??????",1
muter muter bgt bujeettt,0
ft gk diajak,0
ke kopma bawa mobil kek mana tu lewwatnya,0
[Sticker] MK mhsiswa abis slesai kelas,0
FEB wis koyo JOGSOL ??,0
Selak telat ikih nak Fik ??,0
ribet,0
pak satpam harus standby bantu nyebrangin sihh,0
semua aj semua tutup anjay ??,0
yang buat rute baru ngira kampus uny seluas ugm,0
Kebijakan paling ra mutu selama kuliah ng uny,0
satpam e kon kerjo ra kur nyawang wong nyabrang kangelan??,2
satpam loh nopo,1
satpame fungsine opo gokkkk,1
rute terribet,1
"[Sticker] RIBETT, jdi cebel deh",1
ha kalo keluar mau kearah sagan opo yo lewat laksda adisucipto ndisik blokk,1
Rewelllll,0
satpam gah kerjo huuu bgt,0
gaje bgt gak si…,0
RIBETT BGT ??,0
"benar"" buang"" waktu",0
YANG BENER AJAAAA,0
Kerennn videony,1
RIBET RIBETTTT,1
repotttttt,1
garai mumet??,1
"Ribet lek tenan, muspro",1
iki ws ribet ditambah kekurangan lahan parkir??,1
riweuh,1
#alumni ternganga,1
busett,0
"gedung feb masuk ny lewat mana dah, ditutup kmrin pagar nya??
nanya security juga jawabannya ga enak",0
"anaku jg bilang ribet, muter2, mumet, g efektif",0
ruwet bgt heran,1
blh mas,0
meh ngejak jogging tukang parkir e ndek kae,0
tuluuung dalan tembusan fmipa ng feb suempit caah????,1
Bikin macet jujur,1
"rektorat macet, urung war parkiran ke ruwetttttttt??",1
apalah aku kelas jam 7.30 itu udh berasa sirkuit orang pada ngebut-ngebut banget heran????,1
disuruh menghapal bagian kampus inimah??,0
ft ngecor jalan sendiri??,1
keknya tu biar kaya kmpus sebelah cmn kan kmpus sebelah jalannya enak luas g sempit ??,0
dunia harus tau gedung rektorat??,0
FV nyimak????,0
buset busettt,0
tour berjamaah wkwkw kocak,0
gur arep survey we di gawe mumet kak...,0
"hadehh unyeahh, onok onok wae",0
"anakku besok UTBK di FIKK kak, bisa lgsg dr jln colombo kan ya?",0
digiring oleh regulasi????????,0
"aaenjaaay touring, bar kui kopdar felix rasido kelas",0
kalo dateng dri timur harus muter barat kmn lagi????,0
aneh men gak oleh nyebrang ????,0
ribetttttttt,0
mah ngopo to iki ruwet ????,0
ya siapa yang ga marahhhhh?????,0
"yg awalnya ga terlalu macet, skrg macet semua. ngabisin bensin. buang buang waktu. udah parkir susah. mau masuk kelas jg dipersusah??",0
"kalo rumahnya dari timur, berangkatnya harus muter dulu? atau kalo ada yg rumahnya di barat, pulangnya muter dulu??? wkwkwk ????",0
bayar ukt mahal tapi masuk kampus aja disuruh muter muter,0
"haha udah kebijakan ngaco, tambah ngaco lagi",0
satpam anjir satpam enggak ada yang nyebrangin,0
awowkwowwkw satpam model opo ragelem nyebrangke,0
"gausah ngikutin gini ges, sesuai dari arah rumah masing2 aja ??",0
ringroad uny,0
"minnnnnnnnn, buka gebang samping plazaaaaaa. Masa aku pulang kerja drinplaz harus lewat UNY terus makin jauh",0
rybet,0
Kemarin gak jadi ke kopma karena gerbang ditutup…wkwk,0
biar apa ya? jujurrr bertanya²,0
"Eh sejak kapan uny harus masuk gedung rektorat, rutenya begini??????",0
"gaada yg nyebrangin jir didepan rektorat, jadi macet sumpah",0
Rektorat : “welcome sobattt”????????,0
"dek ...sy aja yg cuma antar SSB aja bingung udah dikirim video petunjuk jalan..lagi mau percobaan nanti ke stadion UNY??
Minggu nanti ke terpadu...hahhaha",0
Mau tenis aja harus lewat rektorat,0
untung di FT,0
Kampus wates nyimak dulu wkwk,0
malah rame2 kompak,0
touring,0
"baru bawa motor ke kampus awal semester 6, dah langsung dikasih suprise beginian??????",0
tuoringg dulu ga sih??,0
berangkat pulang lab aja berasa faculty tour FIK FBS????,0
kangenn,0
ribet,0
ribet,0
ngribeti,0
RIBET,0
sumpah ribet dan ANNOYING poll.,0
mobil juga bisa lewat tengah situ?,0
Fmipa ga mungkin suruh muter muter kannn?!,0
ribet sumpah lah jalan uny??,0
ribet??????,0
pace berapa ini enaknya,0
bjirrr sampe gerbang kopma punn aduh muter gak jelas ini,0
gini banget?,0
satpamnya bantuin buat nyebranginlah plis??,0
kocakkkkkkkk,0
ribet,0
duh ngribetin????,0
riweh ah,0
"bodo amat ttp masuk dari arah affandi, ngabisin bensin anjir, nyuruh online hari jumat tapi ngabisin bensin buat muter muter kampus doang",0
rutenya repot,0
duh nyasar inimah,2
,0
ribet banget min jir lah jauh banget muternya mana di fisip,1
"kalo pmd feb gimana kakkk, bingung ini besok lokasi buat utbk nyaa ??",1
apa itu jalan pintas ??,1
"emoh ah, lu nolak gw",1
Tidak berlaku di FT wkwk,0
feb pmd kakk,0
aku mau ngerasain tour kampus UNY itu juga...in another life ??,0
"untung udah lulus 2013, masih lumayan bebas lewat mana saja ??",0
gapapa gua tiap hari campus tour asal di UNY ????,0
ra efisien blas,0
"duh repott,udh plg bnr buka lg smua akses",0
FUNGSINE OPO?? RIBET!,0
vokasi nyimak..,0
ribet e?? ha nek meh balik ngulon mosok ndadak lewat Demangan?,0
ruwet,0
[Sticker] satpam e wingi ngopi cantik neng pos,0
MOOOHHH RUWEEETTTT,1
UNY (Universitas Ngerepoti Yogyakarta),0
Lah gimana sih ?? trus suruh muter balik dulu?,0
#Mlakuwae,0
Ribeetttt,1
mumet,1
ft bilek ?????????????????????,0
mahasigma yang jalan dari kost bilek : santai dulu gak sih??,0
"untung temen2 uny ku udh lulus, jd aku sbg warga non uny ga bingung kalo datengin sidang????",0
gua yg intropet cukup tersiksa,0
ndak apa to semua juga demi kebaikan kok,0
"aku FMIPA, lewat Gang guru tp g ngeh klo tutup, Kaget td pas siang tbtb rame bgt kyk gerbang tol gang mipa nya ??",0
konyol,0
Untung udah wisuda ya allah ??,0
sbg anak gedung ika kaget bgt jalan depan fk jadi rame??,0
FT nyimak mawon??,0
jalan kaki ajaaaaaaa,0
kaliaaan harus menyapa pak rektor duluuu ya adek2.... ?? mau diabsen duluuu ??,0
btw dipalang kenapa guys? gua bukan anak uny soalnya jadi kaga tau,0
KAN GW BLG JG APA BIKIN MACET KOCAK,0
ini mah uny jadi macet,0
pusing bgt untung dah lulus,0
nggarai telat byuh,0
setelah itu otw parkir bayar wkwkwk,0
give me a reason why kebijakan ini harus dilaksanakan urgensinya apa min?,0
mumet pak/buk,0
hdh,0
ruwet e ??,0
"jirr coy, yang fip pd lewat mana dah klo gaboleh lurus ??",0
kenapa sih ??,0
"ga suka, pas siang satpamnya gaada yg nyebrangin",0
ohh jdi gini skrg rutenya,0
halah bikin badmood klo dh kena macet + muter2 jalan di tutup + telat,0
ribet,0
menghabiskan byk waktuu mana hrs nyari space kosong buat naro motornyaaa,0
program gaje,0
JANGAN GINI PAK MUTER2??,0
FASILITAS PARKIR MU LOH,0
ribet amat anjay tung dah lulus,0
ihh egk suka,0
MUMET,0
aturen dewe cah,0
"A1 nyasar, untung wis sido lulus, untung fbs",0
[Sticker] RIBET.,0
ga ngasih solusi malah bikin masalah baru,0
untung udah lulus wkwk,0
Fomo kek ugm kah ini,0
ruwettt,0
atur seribet mungkin min,0
RIBETTT,0
"healah, tak mlaku wae teko jakal sampe uny min?? kok makin ribet",0
gk bljr supply chain y,0
biar apasi?,0
"HAHAHAHAHAHAH NGAKAK BANGET SI TIAP PAGI, rektorat jadi rame banget kaya ringroad",0
lucu banget neh,0
"KENAPA WOY??
aku dah lulus inii",0
waduh mana mau otw??,0
[Sticker] ft be like:,0
kok mirip boulevard ??,0
alhamdullilah aku fbsb,0
udah gajelas ribet pula aneh,0
Ft jalur fastrack,0
"Harusnya kalo emang buat nambah pemasukan mending tiap fakultas dikasi portal dan parkir berbayar, orang orang umum yg gunain fasilitas uny mau bayar asal ga ribet, udah ribet bayar lagi yg ada makin sepi, penerapan jalan searah tuh berdampak ke fasilitas umum kayak kolam renang dan stadion",0
ha njuk muter ng ndi bro,0
"satu kata
GWS",0
konyol bet,0
"fikk yg seharusnya tinggal menyebrang mlah dipaksa lewat fbsb, mana bikin boros bahan bakar lagi",0
"@Aaaaaaaaaaaaa:Kalo rumahnya ke arah barat, terus harus ke timur dulu? Aneh! Kebijakan yg tidak bijak.",0
untung banget aku Udah lulus ??. ga perlu ngerasain rute aneh itu,0
keliatan banget gamau nyebrangin ????gunanya satpam ap sii??,33
"jyujyur ribet, keluar dari gerbang masa harus muter affandi dulu pdhl kos di samirono ??",0
NGREPOTI!,1
Ngrepoti,2
feb juga jadi rame bangetttttt sliwar sliwer wong lewat,0
ribet,0
yok mainin makro nya,0
ngruweti wae ??,0
makin ribet,0
rute mu marai mumet tenan,0
"big no, boros BBM",0
ojol jadi ikut muter muter kalau nganter makanan,0
mboh wes mangkat kuliah we kon towaf disik muteri rektorat,0
fip masuknya piye ??,0
ribet min,0
pusing ah,0
F1 ta iki ? ??,0
mumet aku,0
Repott,0
"jalan banyak kok malah dibuat ribettt, aneeeh",0
ribet,0
ada g siii satpam yg ramah2....??????,0
lah sekarang namanya FBSB yak... dulu FBS doang... FBS MOVE ON!,0
untung jamanku engga wkwkw??,0
ada aj gebrakannya uny????,0
biar apa ya..,0
ini luci bgt astaga??,0
YA ALLAH UNY MACETTT,0
repot bgt skrg dah ??,0
wkwkwk,0
parkir woy amburadul gitu jadinya,0
[Sticker] fikk diblokir dalanne kon mebur po yo?,2
Fisip Kelas 07.30,0
KAYA ANAK SD ROMBONGAN GT BERANGKATNYA??,3
benci bgt??,3
????????aneh,0
"ada aja gebrakan nya UNY, tapi bukan ke arah positif",0
lah???,0
Katanya efisiensi bbm??????,0
apalah ??,0
apalah uny ini,0
kocakya ngocak,0
RUWET!,0
satpam e minimal bantu nyebrang sih??????,0
DUH WKWK,0
"bodoamat jir, yakali muter",0
bensin naik kak hargane ??,0
etdah bujug timbang repot rute mending benerin dulu dah satpam2 nya kata gua,0
lah satpamnya mana?? knp malah ngelarang dari arah affandi dah?? gak jelas bgt,0
gok gok,0
ini kalo keluar harus bgt aambil kiri ga boleh nyebrang??,0
ruwet,0
Ruwet ruwet,0
ribet bgt,0
"kasian yg anak kuliah yg biasa jln kaki sampai dari kost, harus muter??",0
#RUWET,0
untung dh luluss??,0
"makin aneh peraturannya, mending satpamnya kerja, mahasiswa disuruh muter” anehh banget ga boleh masuk dari jl afandi, kocakkkk kocak, efisiensi satpam? (mending optimalisasi kinerjanya), di bikin ribet (yg ada mahasiswa ngejer waktu bisr ga telat malah bikin bahaya), habisin bensin bgt lg, jujur merugikan mahasiswa ya",5
solusi malas yang berkedok ketertiban…,5
tunggu aku y uny jgn nolak' lagi??,5
"jalan perempatan samirono ke kiri gak bisa apa? kan gak perlu muter rektorat, lgs belok di selatan masjid",0
otw parkir berbayar wkwkwk,0
ribet bat skrng. kalo kuliahnya jam 7 mending abis subuh langsung otw,0
ga masuk akal bgt,0
sepakat,0
Jaga pos kak??,0
????????,0
alhamdukillah fah lulus????,0
tawaf semua tawaf????,0
Jurusan furab juga lewat situ?,0
ft bagian nyimak aja yah,0
ruwet??,0
kalau masuk pagi udah kek touring??,0
"dulu telat, langsung parkir foodcourt atau fip yg dkt sama mipa.. biar keburu jamnya...",0
RIBET BANGET AHH SEBEL,0
FIK nyimak??,0
marai mumet juh,0
touring ta,0
aku iso ngelu dewe,1
"minimal eneng sk nyebrangne ora gur gawe peraturan tok tpi ra eneng solusi, isone gur nyeneni mahasiswane nek eneng sk salah jalur, tpi yo ngelos nk kene",4
"RIBETT, NGERIBETI",4
"ya kalo arah rumahnya ga lewat jl affandi gmn kocak,yakali muter. sini tambahin uang bensin lawak ni",2
"kampus atau gedung wakil rakyat sih? bikin aturannya sama sama menyusahkan, FREAK",2
LHA SEK OMAH É SEKO WÉTAN MUBENG² SEK PO PIE?,2
Tutupen kabeh mawon pak tak gawe dalan dewe ??,2
Masuk UNY = Masuk labirin,2
kenapa emg klo masuk dari arah timur? satpamnya gamau nyebrangin kah?,3
ANEH BIN AJAIB,1
"?? di mana-mana tu kebijakan dibuat untuk mengatur hal yang bisa diatur, kalo orang masuk mau dari mana mah mana bisa bos ??",1
hihh ruwettt??,2
[Sticker] gegara ini aku yg biasanya fulltank buat seminggu cukup jadi gacukup??,1
alai,0
Minimal satpam kerja,0
"apa daya kl alumni yg dah lama ga kesitu, bisa2 nyasar salah jalur",0
"kampus elek peraturan ruwet, satpam gaweane gur lingguh dolanan HP????",0
RIBET BGTTTT NANTI KECELAKAANNYA PINDAH DI LAMPU MERAH POINT CKCKCKCKKCKC,0
satpam e cosplay dadi dpr po pie iku,0
"KEBIJAKAN GA JELAS!! KALAU INI JADINYA MOROTIN UANG BENSIN MAHASISWA, HARUS MUTER MUTER",0
bikin kebijakan kaya gini bikin satpamnya makan gaji buta,0
"[Sticker] bener-bener deh, udah berangkat dari utara kalo masuk harus ke gerbang rektorat yang mana ke selatan dulu abis itu ke arah fisip yang BALIK LAGI KE UTARA terus pulangnya harus ke SELATAN LAGI dan pulang lewat jl gejayan yang ke UTARA lagiiiiii, kek orang bingung ga efektif blasss",0
"gajelas anjir, tutup semua aja gerbangnya ntar mahasigmanya suruh naik helikopter aja",0
"1. Bikin Macet sudah pasti tidak efektif
2. Rawan Laka
3. Nyusahin Mahasiswa
Kalaupun emang mau ningkatin keamanan, berlakukan KTM Digital/ Non Digital / STNK, masuk kluar area parkir wajib nunjukin KTM/ STNK, berlakuin Bapak"" Ganteng yg jaga parkir buat meriksa KTM/ STNK, g bawa KTM/ STNK gak boleh masuk/ kluar.",0
nyusahin dan ribet,0
"awkwkwkwwkkwwkkwkwwkwkw kok peraturan e gini dah? untung ga keterima kemarennnnn ??, klo jd mahasiswanya aku udh marah bgt si ??",0
[Sticker] nyrimpeti,0
pusinggg min,0
[Sticker] ruweeett,0
repot ih (ak bukan mahasiswanya sih),0
"saingan sama pogung ya, bikin nyasar????",0
emg ga ada solusi lain apa jir,0
min yang buat pejalan kaki di fip tolong dibuka muternya jauh amat harus ke depan plaza dulu baru bisa,0
ribet,0
ribet ny,0
ribetttttttt,0
[Sticker] fbsb :,0
ribetttt,0
auk ah,0
RUWET,0
pliss,0
oke otw,0
"ribett, terima aku dulu??",0
gjls,1
itu satpam yang gerbang ga ada kah yang bertugas nyebrangin?? suka bikin macet padahal kalo ada yang mau nyebrang tapi ga dapt dapet dari pada cuma nongkrong di pos padahal keluar masuk aja ga ada cek cek ktm atau ticketing kaya di ugm ??????,1
ih iya lewat colombo chaos banget,0
gunanya satpam apa sih? minum nongkrong di pos doang smbil lihatin semisalnya ada yg kecelakaan dan kesusahan NYEBRANG gt?,0
Tour de Campus ????,0
konvoi ta iki,0
ramein ft dongg,0
masih bisa parkir di masmuja ga ya?,0
pusing,0
uny tolong bgt dong ga cukup kah akses dr luar ditutup semua trus malah ditambah bikin sistem satu arah di dalem kampus tuh buat apa??????????,0
Nambah ribet,0
yg fikk dari fbsb gimana min,0
"Lama ga kekampus, dgn pedenya mau belok gerbang samping FIP ??",0
INI PARKIRAN FT BAGIAN SELATAN PENUHH WOYYYYYYY. Mbok nek ngerti lahan e kecil ki parkiran e diperluas sik.,0
#NAME?,0
warga FT ra ngaruh ??,2
